epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
67,606.894,1.01322,0.79725,1.5883,0.00539,0.48034,1,0.74625,0.398,1.35056,0.80056,1.17896,0.00301,0.000577782,0.000577782,0.000577782
68,619.072,0.88904,0.69553,1.2658,0.00855,0.48705,1,0.74625,0.47263,1.23141,0.75641,1.14576,0.00234,0.000561279,0.000561279,0.000561279
69,627.334,1.09358,0.77494,1.67071,0.01251,0.48705,1,0.74625,0.47263,1.23141,0.75641,1.14576,0.00234,0.000544776,0.000544776,0.000544776
70,642.317,0.96917,0.73025,1.3813,0.01367,0.48705,1,0.74625,0.47263,1.23141,0.75641,1.14576,0.00234,0.000528272,0.000528272,0.000528272
71,649.385,0.93451,0.7857,1.33975,0.01717,0.44044,1,0.74625,0.47263,1.13949,0.76328,1.15446,0.00195,0.000511769,0.000511769,0.000511769
72,662.916,0.8746,0.69956,1.32634,0.00588,0.44044,1,0.74625,0.47263,1.13949,0.76328,1.15446,0.00195,0.000495266,0.000495266,0.000495266
73,671.712,0.94439,0.78764,1.45185,0.00685,0.4132,1,0.66333,0.4975,1.09316,0.7886,1.16796,0.00161,0.000478762,0.000478762,0.000478762
74,687.46,0.8974,0.80914,1.3229,0.00511,0.4132,1,0.66333,0.4975,1.09316,0.7886,1.16796,0.00161,0.000462259,0.000462259,0.000462259
75,703.143,0.88118,0.7497,1.46785,0.0156,0.4132,1,0.66333,0.4975,1.09316,0.7886,1.16796,0.00161,0.000445756,0.000445756,0.000445756
76,711.793,0.94147,0.76952,1.38792,0.00648,0.41134,1,0.66333,0.4975,1.13256,0.85674,1.17546,0.00159,0.000429253,0.000429253,0.000429253
77,727.248,0.83588,0.6862,1.38902,0.01067,0.41134,1,0.66333,0.4975,1.13256,0.85674,1.17546,0.00159,0.000412749,0.000412749,0.000412749
78,742.784,0.94461,0.76073,1.40861,0.00508,0.41134,1,0.66333,0.4975,1.13256,0.85674,1.17546,0.00159,0.000396246,0.000396246,0.000396246
79,749.251,0.98617,0.74311,1.38962,0.01188,0.98061,0.5,0.66333,0.4975,1.18309,0.89346,1.19044,0.00154,0.000379743,0.000379743,0.000379743
80,756.534,0.86469,0.66822,1.34702,0.00819,0.98061,0.5,0.66333,0.4975,1.18309,0.89346,1.19044,0.00154,0.000363239,0.000363239,0.000363239
81,772.405,0.90884,0.70482,1.23312,0.0045,0.98099,0.5,0.66333,0.4975,1.201,0.90648,1.19052,0.00155,0.000346736,0.000346736,0.000346736
82,787.47,0.84966,0.7176,1.30292,0.0057,0.98099,0.5,0.66333,0.4975,1.201,0.90648,1.19052,0.00155,0.000330233,0.000330233,0.000330233
83,795.344,0.81292,0.64884,1.34216,0.00266,0.98099,0.5,0.66333,0.4975,1.201,0.90648,1.19052,0.00155,0.000313729,0.000313729,0.000313729
